Incident ID ,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Name,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201363444,2303,220005448,02/08/2022 10:44,23C,1,Shoplifting,MONTGOMERY VILLAGE,19100 BLK  MONTGOMERY VILLAGE AVE,MONTGOMERY VILLAGE,MD,20886,MCPD,Retail - Drug Store/Pharmacy,R,6R2,546,19100,MONTGOMERY VILLAGE,AVE,02/08/2022 10:27,,39.17024,-77.2049,6D,"(39.1702, -77.2049)"
201350102,2404,210042258,10/21/2021 05:09:45 AM,240,1,Motor Vehicle Theft,ROCKVILLE,14900 BLK  PLAINFIELD LA,GERMANTOWN,MD,20874,MCPD,Residence - Driveway,B,1B2,459,14900,PLAINFIELD,LA,10/21/2021 05:09:00 AM,,0,0,1D,"(0.0, 0.0)"
201318483,2203,210004201,02/02/2021 14:51,220,1,Burglary/Breaking and Entering,CITY OF TAKOMA PARK,7600 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,TPPD,Restaurant,T,8T3,807,7600,NEW HAMPSHIRE,AVE,02/02/2021 14:47,02/02/2021 14:47,38.98590052,-76.9881402,8D,"(38.9859, -76.9881)"
201329543,2399,210016710,05/04/2021 10:41,23H,1,All other Larceny,BETHESDA,12000 BLK  ASHLEY DR,ROCKVILLE,MD,20852,MCPD,Residence - Single Family,D,2D4,308,12000,ASHLEY,DR,04/25/2021 10:40:00 AM,05/04/2021 10:40,39.05150521,-77.09201189,2D,"(39.0515, -77.092)"
201359190,2203,220000237,01/03/2022 6:36,220,1,Burglary/Breaking and Entering,TAKOMA PARK,7600 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,TPPD,Retail - Other,,,807,7600,NEW HAMPSHIRE,AVE,01/03/2022 3:00,01/03/2022 3:45,38.98598,-76.9881,TPPD,"(38.986, -76.9881)"
201318605,2305,210004360,02/03/2021 15:11,23F,1,Theft From Motor Vehicle,CITY OF TAKOMA PARK,7100 BLK  14TH AVE,TAKOMA PARK,MD,20912,TPPD,Street - Residential,T,8T3,807,7100,14TH,AVE,02/03/2021 15:11,,38.9789547,-76.98710936,8D,"(38.979, -76.9871)"
201318637,2399,210004376,02/03/2021 15:45,23H,1,All other Larceny,GERMANTOWN,11600 BLK  MOUNTAIN MIST DR,GERMANTOWN,MD,20876,MCPD,Residence - Single Family,M,5M3,600,11600,MOUNTAIN MIST,DR,01/31/2021 08:00:00 PM,,39.21073655,-77.24204294,5D,"(39.2107, -77.242)"
201318684,2308,210004316,02/02/2021 17:56,23D,1,Theft from Building,CITY OF TAKOMA PARK,1  BLK  PINE AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Other,T,8T1,802,1,PINE,AVE,01/29/2021 07:00:00 AM,02/02/2021 7:00,38.97548578,-77.00894062,8D,"(38.9755, -77.0089)"
201318824,2611,210004591,02/05/2021 10:42,26G,1,,CITY OF TAKOMA PARK,7600 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Apartment/Condo,T,8T2,804,7600,MAPLE,AVE,01/30/2021 12:00:00 PM,01/30/2021 12:00:00 PM,38.98266514,-77.00746005,8D,"(38.9827, -77.0075)"
201318915,2404,210004691,02/05/2021 21:59,240,1,Motor Vehicle Theft,CITY OF TAKOMA PARK,7800 BLK  KENNEWICK AVE,TAKOMA PARK,MD,20912,TPPD,Street - Other,T,8T3,806,7800,KENNEWICK,AVE,02/05/2021 20:59,02/05/2021 21:59,38.98808681,-76.98929116,8D,"(38.9881, -76.9893)"
